,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
28,2016-02-01,959562.5108620226,924967.7884521803,986794.7783447233,959562.5108620226,959562.5108620226,-4603.569336309371,-4603.569336309371,-4603.569336309371,-4603.569336309371,-4603.569336309371,-4603.569336309371,0.0,0.0,0.0,954958.9415257133
29,2016-03-01,968102.704517824,942178.0124428505,1002185.7097331352,968102.704517824,968102.704517824,2663.4373437881054,2663.4373437881054,2663.4373437881054,2663.4373437881054,2663.4373437881054,2663.4373437881054,0.0,0.0,0.0,970766.1418616121
30,2016-04-01,966603.6499289437,939572.098831922,998747.5709272771,966603.6499289437,966603.6499289437,2884.86992853455,2884.86992853455,2884.86992853455,2884.86992853455,2884.86992853455,2884.86992853455,0.0,0.0,0.0,969488.5198574783
31,2016-05-01,965152.951939705,933353.9706882891,994610.6105642028,965152.951939705,965152.951939705,-1400.1633080167467,-1400.1633080167467,-1400.1633080167467,-1400.1633080167467,-1400.1633080167467,-1400.1633080167467,0.0,0.0,0.0,963752.7886316882
32,2016-06-01,963653.8973508247,939418.3378658735,999897.9507646513,963653.8973508247,963653.8973508247,5399.131083485999,5399.131083485999,5399.131083485999,5399.131083485999,5399.131083485999,5399.131083485999,0.0,0.0,0.0,969053.0284343107
33,2016-07-01,962201.1390837418,925835.8738015158,989722.6109997141,962201.1390837418,962201.1390837418,-5128.3431707378395,-5128.3431707378395,-5128.3431707378395,-5128.3431707378395,-5128.3431707378395,-5128.3431707378395,0.0,0.0,0.0,957072.795913004
34,2016-08-01,960699.9555410894,911618.0732562026,972129.9663463729,960699.9555410894,960699.9555410894,-19085.12860357444,-19085.12860357444,-19085.12860357444,-19085.12860357444,-19085.12860357444,-19085.12860357444,0.0,0.0,0.0,941614.8269375149
35,2016-09-01,959198.771998437,969618.020032661,1031045.6297098999,959198.771998437,959198.771998437,41518.56749148356,41518.56749148356,41518.56749148356,41518.56749148356,41518.56749148356,41518.56749148356,0.0,0.0,0.0,1000717.3394899205
36,2016-10-01,957746.0137233497,940040.8213745441,1002884.7520414288,957746.0137233497,957746.0137233497,14501.40386152578,14501.40386152578,14501.40386152578,14501.40386152578,14501.40386152578,14501.40386152578,0.0,0.0,0.0,972247.4175848755
37,2016-11-01,956244.8301724263,913444.0002137884,974208.2317784312,956244.8301724263,956244.8301724263,-12786.138056851169,-12786.138056851169,-12786.138056851169,-12786.138056851169,-12786.138056851169,-12786.138056851169,0.0,0.0,0.0,943458.6921155751
38,2016-12-01,954792.0718973392,910326.9165608586,972703.9936944938,954792.0718973392,954792.0718973392,-13032.90211192629,-13032.90211192629,-13032.90211192629,-13032.90211192629,-13032.90211192629,-13032.90211192629,0.0,0.0,0.0,941759.169785413
39,2017-01-01,953291.004401532,918177.3545140378,981530.0480519647,953291.004401532,953291.004401532,-3277.575286936661,-3277.575286936661,-3277.575286936661,-3277.575286936661,-3277.575286936661,-3277.575286936661,0.0,0.0,0.0,950013.4291145953
