,Date,Sold_Units,Retail_Sales (in USD)
281,2020-07-07,12190.0,1828500.0
282,2020-07-08,9217.0,1382550.0
283,2020-07-09,9192.0,1378800.0
284,2020-07-10,9193.0,1378950.0
285,2020-07-11,4396.0,659400.0
286,2020-07-12,2781.0,417150.0
287,2020-07-13,11667.0,1750050.0
288,2020-07-14,11585.0,1737750.0
289,2020-07-15,8996.0,1349400.0
290,2020-07-16,8948.0,1342200.0
291,2020-07-17,8909.0,1336350.0
292,2020-07-18,4386.0,657900.0
293,2020-07-19,2458.0,368700.0
294,2020-07-20,11595.0,1739250.0
295,2020-07-21,11478.0,1721700.0
296,2020-07-22,8728.0,1309200.0
297,2020-07-23,8654.0,1298100.0
298,2020-07-24,8598.0,1289700.0
299,2020-07-25,4522.0,678300.0
300,2020-07-26,2709.0,406350.0
301,2020-07-27,11752.0,1762800.0
302,2020-07-28,11667.0,1750050.0
303,2020-07-29,9849.0,1477350.0
304,2020-07-30,9497.0,1424550.0
305,2020-07-31,9627.0,1444050.0
306,2020-08-01,4708.0,706200.0
307,2020-08-02,3362.0,504300.0
308,2020-08-03,12111.0,1816650.0
309,2020-08-04,12218.0,1832700.0
310,2020-08-05,9401.0,1410150.0
311,2020-08-06,9532.0,1429800.0
312,2020-08-07,9411.0,1411650.0
313,2020-08-08,4392.0,658800.0
314,2020-08-09,3292.0,493800.0
315,2020-08-10,11730.0,1759500.0
316,2020-08-11,11765.0,1764750.0
317,2020-08-12,9199.0,1379850.0
318,2020-08-13,9122.0,1368300.0
319,2020-08-14,9074.0,1361100.0
320,2020-08-15,4477.0,671550.0
321,2020-08-16,3213.0,481950.0
322,2020-08-17,11255.0,1688250.0
323,2020-08-18,11077.0,1661550.0
324,2020-08-19,8954.0,1343100.0
325,2020-08-20,8998.0,1349700.0
326,2020-08-21,8965.0,1344750.0
327,2020-08-22,4374.0,656100.0
328,2020-08-23,3271.0,490650.0
329,2020-08-24,11461.0,1719150.0
330,2020-08-25,11313.0,1696950.0
331,2020-08-26,9263.0,1389450.0
332,2020-08-27,9865.0,1479750.0
333,2020-08-28,9948.0,1492200.0
334,2020-08-29,4620.0,693000.0
335,2020-08-30,3178.0,476700.0
336,2020-08-31,11188.0,1678200.0
337,2020-09-01,10815.0,1622250.0
338,2020-09-02,9439.0,1415850.0
339,2020-09-03,9541.0,1431150.0
340,2020-09-04,9565.0,1434750.0
341,2020-09-05,4414.0,662100.0
342,2020-09-06,3249.0,487350.0
343,2020-09-07,11953.0,1792950.0
